date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:22	71823/71823	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20May%202019%2016:47:22%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html	(from )
11:47:23	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202019%2016:47:23%20GMT	https://bulkitv2.cssninja.io/robots.txt		(from )
11:47:23	1544/1544	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:08%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/favicon.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/favicon.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:24	20227/20227	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20Mar%202019%2019:34:02%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/app.css	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/app.css	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:24	425388/425388	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Mar%202019%2019:34:03%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/bulma.css	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/bulma.css	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:25	125193/125193	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20Mar%202019%2019:34:03%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:25	1984/1984	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:13%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/logos/bulkit-blue-flash.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/logos/bulkit-blue-flash.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:25	36044/36044	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20May%202019%2016:47:25%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-login.html	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-login.html	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:25	839923/839923	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Mar%202019%2019:34:03%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/core_blue.css	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/core_blue.css	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:26	37339/37339	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20May%202019%2016:47:26%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-signup.html	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-signup.html	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:26	1907/1907	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:13%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/logos/bulkit-white.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/logos/bulkit-white.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:26	255/255	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202019%2016:47:26%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/ui/app.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/ui/app.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:26	857/857	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:18%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/bg/shapes/square-left.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/bg/shapes/square-left.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:26	875/875	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:18%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/bg/shapes/square-right.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/bg/shapes/square-right.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:27	833/833	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:12%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/divider.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/divider.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:27	4555/4555	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:12%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/mentoring.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/mentoring.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:27	2844/2844	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:11%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/content.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/content.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:28	7700/7700	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:12%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/puzzle.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/puzzle.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:28	54478/54478	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:19%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/drawings/phone-list.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/drawings/phone-list.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:28	6487/6487	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:11%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/certification.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/certification.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:28	114153/114153	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:18%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/drawings/gauge.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/drawings/gauge.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:28	4653/4653	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:11%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/community.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/community.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:29	6383/6383	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:12%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/schedule.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/schedule.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:29	9656/9656	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:19%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/drawings/process-woman.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/drawings/process-woman.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:29	4882/4882	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:12%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/time.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/time.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:29	2780/2780	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:12%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/diamond.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/diamond.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:29	3362/3362	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:12%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/rocket.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/rocket.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:30	2302/2302	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:12%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/send.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/send.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:30	3941/3941	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:12%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/rocket2.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/icons/rocket2.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:50	798074/798074	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:15%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/greg-cover.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/greg-cover.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:56	93683/93683	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:15%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/greg.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/greg.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:47:57	559395/559395	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:15%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/jane-cover.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/jane-cover.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:01	828648/828648	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:16%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/yuko-cover.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/yuko-cover.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:02	357629/357629	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:16%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/jane.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/jane.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:03	781/781	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:14%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/logos/square-white.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/logos/square-white.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:03	351694/351694	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:14%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/andres.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/andres.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:03	5274/5274	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:13%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/logos/cssninja.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/logos/cssninja.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:03	1024942/1024942	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:15%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/andres-cover.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/andres-cover.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:03	65686/65686	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20May%202019%2016:48:03%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/index.html	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/index.html	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:04	23305/23305	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2024%20Mar%202019%2019:34:09%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/js/main.js	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/js/main.js	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:04	202506/202506	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2024%20Mar%202019%2019:34:09%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/js/app.js	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/js/app.js	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:04	4511/4511	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2024%20Mar%202019%2019:34:09%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/js/landingv5.js	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/js/landingv5.js	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:05	2035/2035	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2024%20Mar%202019%2019:34:09%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/js/auth.js	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/js/auth.js	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
11:48:05	4178/4178	---M--	200	added ('OK')	image/gif	date:Sun,%2024%20Mar%202019%2019:34:02%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/ajax-loader.gif	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/ajax-loader.gif	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/app.css)
11:48:05	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20Mar%202019%2019:34:09%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/fonts/slick.eot	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/fonts/slick.eot	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/app.css)
11:48:05	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20Mar%202019%2019:34:09%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/fonts/slick.eot?	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/fonts/slickd41d.eot	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/app.css)
11:48:06	1380/1380	---M--	200	added ('OK')	application/x-font-woff	date:Sun,%2024%20Mar%202019%2019:34:09%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/fonts/slick.woff	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/fonts/slick.woff	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/app.css)
11:48:06	1892/1892	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2024%20Mar%202019%2019:34:09%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/fonts/slick.ttf	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/fonts/slick.ttf	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/app.css)
11:48:06	2152/2152	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Mar%202019%2019:34:09%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/fonts/slick.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/fonts/slick.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/app.css)
11:48:06	18024/18024	---M--	200	added ('OK')	application/x-font-woff	date:Sun,%2024%20Mar%202019%2019:34:17%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/text/nexa/NexaLight.woff	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/text/nexa/NexaLight.woff	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/core_blue.css)
11:48:07	374258/374258	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Mar%202019%2019:34:16%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/yuko.png	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/photos/yuko.png	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/landing-v5-home.html)
